FUND_CODE,ACCRUAL_DATE,MGMT_FEE_ACCRUED,ADMIN_FEE_ACCRUED,OTHER_EXPENSE
CIF-CAD-EQ-01,2025-04-10,24652.11,2931.6,2921.75
CIF-CAD-EQ-01,2025-04-11,24749.58,2943.19,3043.61
CIF-CAD-EQ-01,2025-04-14,24738.2,2941.84,2462.92
CIF-CAD-EQ-01,2025-04-15,22080.27,2625.76,2743.7
CIF-CAD-EQ-01,2025-04-16,22084.27,2626.24,2364.17
CIF-CAD-EQ-01,2025-04-17,22242.47,2645.05,2558.88
CIF-CAD-EQ-01,2025-04-18,22279.42,2649.44,2628.03
CIF-CAD-EQ-01,2025-04-21,22410.33,2665.01,2666.85
CIF-CAD-EQ-01,2025-04-22,22403.21,2664.17,2242.0
CIF-CAD-EQ-01,2025-04-23,22431.51,2667.53,2721.77
CIF-CAD-EQ-01,2025-04-24,22418.8,2666.02,2690.13
CIF-CAD-EQ-01,2025-04-25,22374.03,2660.7,2243.72
CIF-CAD-EQ-01,2025-04-28,22261.8,2647.35,2311.32
CIF-CAD-EQ-01,2025-04-29,22216.43,2641.95,2431.44
CIF-CAD-EQ-01,2025-04-30,22325.43,2654.92,2325.03
CIF-CAD-EQ-01,2025-05-01,22323.72,2654.71,2657.7
CIF-CAD-EQ-01,2025-05-02,22249.16,2645.85,2195.17
CIF-CAD-EQ-01,2025-05-05,22214.4,2641.71,2525.02
CIF-CAD-EQ-01,2025-05-06,22295.99,2651.42,2624.84
CIF-CAD-EQ-01,2025-05-07,22110.84,2629.4,2775.48
CIF-CAD-EQ-01,2025-05-08,22038.55,2620.8,2153.04
CIF-CAD-EQ-01,2025-05-09,21968.19,2612.43,2437.45
CIF-CAD-EQ-01,2025-05-12,21900.52,2604.39,2318.11
CIF-CAD-EQ-01,2025-05-13,21778.61,2589.89,2101.65
CIF-CAD-EQ-01,2025-05-14,21719.35,2582.84,2125.38
CIF-CAD-EQ-01,2025-05-15,21776.98,2589.69,2760.13
CIF-CAD-EQ-01,2025-05-16,21655.03,2575.19,2567.2
CIF-CAD-EQ-01,2025-05-19,21560.9,2564.0,2395.28
CIF-CAD-EQ-01,2025-05-20,21568.11,2564.86,2301.73
CIF-CAD-EQ-01,2025-05-21,21594.27,2567.97,2066.25
CIF-CAD-EQ-01,2025-05-22,21634.0,2572.69,2674.66
CIF-CAD-EQ-01,2025-05-23,21691.72,2579.56,2562.68
CIF-CAD-EQ-01,2025-05-26,21792.99,2591.6,2810.49
CIF-CAD-EQ-01,2025-05-27,21768.42,2588.68,2110.05
CIF-CAD-EQ-01,2025-05-28,21862.53,2599.87,2414.39
CIF-CAD-EQ-01,2025-05-29,21874.43,2601.28,2349.13
CIF-CAD-EQ-01,2025-05-30,21859.37,2599.49,2661.12
CIF-CAD-EQ-01,2025-06-02,21866.0,2600.28,2642.87
CIF-CAD-EQ-01,2025-06-03,21855.28,2599.01,2573.08
CIF-CAD-EQ-01,2025-06-04,22012.84,2617.74,2389.39
CIF-CAD-EQ-01,2025-06-05,22043.4,2621.38,2562.94
CIF-CAD-EQ-01,2025-06-06,22035.21,2620.4,2564.68
CIF-CAD-EQ-01,2025-06-09,21901.26,2604.47,2133.05
CIF-CAD-EQ-01,2025-06-10,21879.39,2601.87,2763.33
CIF-CAD-EQ-01,2025-06-11,21879.89,2601.93,2749.86
CIF-CAD-EQ-01,2025-06-12,21789.75,2591.21,2685.79
CIF-CAD-EQ-01,2025-06-13,23511.31,2795.94,2822.52
CIF-CAD-EQ-01,2025-06-16,23452.3,2788.92,2672.57
CIF-CAD-EQ-01,2025-06-17,23639.0,2811.12,2977.21
CIF-CAD-EQ-01,2025-06-18,23600.65,2806.56,2439.05
CIF-CAD-EQ-01,2025-06-19,23592.02,2805.54,2268.27
CIF-CAD-EQ-01,2025-06-20,23589.52,2805.24,2699.16
CIF-CAD-EQ-01,2025-06-23,23403.51,2783.12,2741.74
CIF-CAD-EQ-01,2025-06-24,23433.89,2786.73,2998.3
CIF-CAD-EQ-01,2025-06-25,23476.91,2791.85,2970.59
CIF-CAD-EQ-01,2025-06-26,23534.63,2798.71,2557.63
CIF-CAD-EQ-01,2025-06-27,23554.99,2801.13,2959.65
CIF-CAD-EQ-01,2025-06-30,23655.7,2813.11,2627.57
CIF-CAD-EQ-01,2025-07-01,23722.53,2821.06,2460.97
CIF-CAD-EQ-01,2025-07-02,23621.2,2809.01,2975.04
CIF-CAD-EQ-01,2025-07-03,23748.48,2824.14,2896.1
CIF-CAD-EQ-01,2025-07-04,23796.06,2829.8,2355.12
CIF-CAD-EQ-01,2025-07-07,23744.29,2823.65,2510.12
CIF-CAD-EQ-01,2025-07-08,23787.47,2828.78,2931.55
CIF-CAD-EQ-01,2025-07-09,23782.63,2828.2,2478.55
CIF-CAD-EQ-01,2025-07-10,23738.11,2822.91,2809.59
CIF-CAD-EQ-01,2025-07-11,23623.44,2809.27,2812.2
CIF-CAD-EQ-01,2025-07-14,23655.75,2813.12,2846.95
CIF-CAD-EQ-01,2025-07-15,23602.04,2806.73,2868.49
CIF-CAD-EQ-01,2025-07-16,23549.43,2800.47,2915.55
CIF-CAD-EQ-01,2025-07-17,23449.18,2788.55,2268.3
CIF-CAD-EQ-01,2025-07-18,23488.59,2793.24,2835.59
CIF-CAD-EQ-01,2025-07-21,23410.1,2783.9,2662.24
CIF-CAD-EQ-01,2025-07-22,23373.31,2779.53,2236.67
CIF-CAD-EQ-01,2025-07-23,23426.67,2785.87,2692.23
CIF-CAD-EQ-01,2025-07-24,23448.88,2788.52,2345.55
CIF-CAD-EQ-01,2025-07-25,23432.01,2786.51,2999.53
CIF-CAD-EQ-01,2025-07-28,23451.97,2788.88,2296.87
CIF-CAD-EQ-01,2025-07-29,23455.16,2789.26,2538.43
CIF-CAD-EQ-01,2025-07-30,23692.1,2817.44,3042.46
CIF-CAD-EQ-01,2025-07-31,23672.34,2815.09,2945.98
CIF-CAD-EQ-01,2025-08-01,23627.9,2809.8,2861.49
CIF-CAD-EQ-01,2025-08-04,23632.83,2810.39,2298.97
CIF-CAD-EQ-01,2025-08-05,23626.71,2809.66,2931.25
CIF-CAD-EQ-01,2025-08-06,23658.47,2813.44,2389.21
CIF-CAD-EQ-01,2025-08-07,23746.92,2823.96,2911.69
CIF-CAD-EQ-01,2025-08-08,23842.68,2835.35,2444.7
CIF-CAD-EQ-01,2025-08-11,23917.27,2844.22,3055.41
CIF-CAD-EQ-01,2025-08-12,23919.66,2844.5,2973.06
CIF-CAD-EQ-01,2025-08-13,23962.68,2849.62,2983.5
CIF-CAD-EQ-01,2025-08-14,23929.75,2845.7,2366.25
CIF-CAD-EQ-01,2025-08-15,24016.79,2856.05,2885.07
CIF-CAD-EQ-01,2025-08-18,24009.36,2855.17,2817.9
CIF-CAD-EQ-01,2025-08-19,23946.21,2847.66,2595.25
CIF-CAD-EQ-01,2025-08-20,24049.1,2859.89,2751.13
CIF-CAD-EQ-01,2025-08-21,23912.15,2843.61,2947.25
CIF-CAD-EQ-01,2025-08-22,23921.53,2844.72,2697.08
CIF-CAD-EQ-01,2025-08-25,23872.89,2838.94,2708.97
CIF-CAD-EQ-01,2025-08-26,23886.75,2840.59,2799.79
CIF-CAD-EQ-01,2025-08-27,23820.16,2832.67,2963.46
CIF-CAD-EQ-01,2025-08-28,23953.17,2848.49,2852.21
CIF-CAD-EQ-01,2025-08-29,24063.34,2861.59,2533.68
CIF-CAD-EQ-01,2025-09-01,23941.55,2847.1,2419.27
CIF-CAD-EQ-01,2025-09-02,23861.74,2837.61,2302.6
CIF-CAD-EQ-01,2025-09-03,24019.48,2856.37,2675.43
CIF-CAD-EQ-01,2025-09-04,24023.17,2856.81,2563.18
CIF-CAD-EQ-01,2025-09-05,24073.73,2862.82,2814.86
CIF-CAD-EQ-01,2025-09-08,24092.44,2865.05,2802.38
CIF-CAD-EQ-01,2025-09-09,25920.61,3082.45,2956.01
CIF-CAD-EQ-01,2025-09-10,25978.08,3089.28,2867.73
CIF-CAD-EQ-01,2025-09-11,26057.78,3098.76,2887.04
CIF-CAD-EQ-01,2025-09-12,25893.24,3079.2,2671.81
CIF-CAD-EQ-01,2025-09-15,25800.32,3068.15,3134.52
CIF-CAD-EQ-01,2025-09-16,25666.64,3052.25,2541.82
CIF-CAD-EQ-01,2025-09-17,25629.46,3047.83,3078.54
CIF-CAD-EQ-01,2025-09-18,25637.02,3048.73,2938.09
CIF-CAD-EQ-01,2025-09-19,25374.44,3017.5,3026.78
CIF-CAD-EQ-01,2025-09-22,25316.69,3010.63,3094.78
CIF-CAD-EQ-01,2025-09-23,25460.54,3027.74,3247.71
CIF-CAD-EQ-01,2025-09-24,25363.83,3016.24,2943.4
CIF-CAD-EQ-01,2025-09-25,25436.61,3024.89,3151.1
CIF-CAD-EQ-01,2025-09-26,25402.37,3020.82,2856.69
CIF-CAD-EQ-01,2025-09-29,25351.8,3014.81,3239.47
CIF-CAD-EQ-01,2025-09-30,25393.65,3019.79,2981.29
CIF-CAD-EQ-01,2025-10-01,25514.48,3034.15,2896.74
CIF-CAD-EQ-01,2025-10-02,25574.35,3041.27,2911.7
CIF-CAD-EQ-01,2025-10-03,25502.48,3032.73,2844.71
CIF-CAD-EQ-01,2025-10-06,25600.19,3044.35,3197.99
CIF-CAD-EQ-01,2025-10-07,25576.98,3041.59,2755.31
CIF-CAD-EQ-01,2025-10-08,25684.87,3054.42,2759.49
CIF-CAD-EQ-01,2025-10-09,25747.07,3061.81,2970.04
CIF-CAD-EQ-01,2025-10-10,25864.88,3075.82,3177.68
CIF-CAD-EQ-01,2025-10-13,25929.14,3083.47,2711.28
CIF-CAD-EQ-01,2025-10-14,25957.18,3086.8,3053.92
CIF-CAD-EQ-01,2025-10-15,26085.69,3102.08,3177.59
CIF-CAD-EQ-01,2025-10-16,26092.4,3102.88,2802.71
CIF-CAD-EQ-01,2025-10-17,25984.55,3090.05,3273.39
CIF-CAD-EQ-01,2025-10-20,26077.61,3101.12,3348.84
CIF-CAD-EQ-01,2025-10-21,26060.92,3099.14,2741.8
CIF-CAD-EQ-01,2025-10-22,25910.69,3081.27,3082.07
CIF-CAD-EQ-01,2025-10-23,25945.02,3085.35,2560.86
CIF-CAD-EQ-01,2025-10-24,25967.56,3088.03,3251.64
CIF-CAD-EQ-01,2025-10-27,25985.69,3090.19,2736.24
CIF-CAD-EQ-01,2025-10-28,25981.69,3089.71,3115.29
CIF-CAD-EQ-01,2025-10-29,25845.14,3073.48,3198.4
CIF-CAD-EQ-01,2025-10-30,25909.93,3081.18,2841.95
CIF-CAD-EQ-01,2025-10-31,25894.28,3079.32,2815.71
CIF-CAD-EQ-01,2025-11-03,25830.52,3071.74,3333.81
CIF-CAD-EQ-01,2025-11-04,25735.44,3060.43,2777.72
CIF-CAD-EQ-01,2025-11-05,25776.96,3065.37,3285.93
CIF-CAD-EQ-01,2025-11-06,25744.13,3061.46,2893.21
CIF-CAD-EQ-01,2025-11-07,25733.9,3060.25,3300.48
CIF-CAD-EQ-01,2025-11-10,25616.73,3046.31,2773.72
CIF-CAD-EQ-01,2025-11-11,25589.24,3043.04,3238.56
CIF-CAD-EQ-01,2025-11-12,25632.6,3048.2,2520.74
CIF-CAD-EQ-01,2025-11-13,25542.19,3037.45,2606.61
CIF-CAD-EQ-01,2025-11-14,25598.08,3044.1,2722.92
CIF-CAD-EQ-01,2025-11-17,25530.59,3036.07,2442.97
CIF-CAD-EQ-01,2025-11-18,25564.7,3040.13,2615.85
CIF-CAD-EQ-01,2025-11-19,25667.33,3052.33,2646.63
CIF-CAD-EQ-01,2025-11-20,25679.04,3053.72,2690.83
CIF-CAD-EQ-01,2025-11-21,25562.39,3039.85,2630.26
CIF-CAD-EQ-01,2025-11-24,25591.51,3043.31,3042.07
CIF-CAD-EQ-01,2025-11-25,25600.41,3044.37,2910.63
CIF-CAD-EQ-01,2025-11-26,25566.32,3040.32,2480.71
CIF-CAD-EQ-01,2025-11-27,25556.88,3039.2,3263.77
CIF-CAD-EQ-01,2025-11-28,25597.48,3044.02,2918.7
CIF-CAD-EQ-01,2025-12-01,25499.65,3032.39,3174.48
CIF-CAD-EQ-01,2025-12-02,25472.57,3029.17,3202.87
CIF-CAD-EQ-01,2025-12-03,25518.07,3034.58,3103.77
CIF-CAD-EQ-01,2025-12-04,25485.15,3030.67,2960.56
CIF-CAD-EQ-01,2025-12-05,25461.74,3027.88,2530.77
CIF-CAD-EQ-01,2025-12-08,25503.06,3032.8,3242.63
CIF-CAD-EQ-01,2025-12-09,25604.14,3044.82,2892.86
CIF-CAD-EQ-01,2025-12-10,25587.4,3042.83,2909.44
CIF-CAD-EQ-01,2025-12-11,25681.14,3053.97,3054.06
CIF-CAD-EQ-01,2025-12-12,25609.99,3045.51,2816.06
CIF-CAD-EQ-01,2025-12-15,25669.24,3052.56,2522.4
CIF-CAD-EQ-01,2025-12-16,25545.69,3037.87,3160.6
CIF-CAD-EQ-01,2025-12-17,25623.17,3047.08,3237.15
CIF-CAD-EQ-01,2025-12-18,25670.23,3052.68,2808.06
CIF-CAD-EQ-01,2025-12-19,25648.62,3050.11,3026.97
CIF-CAD-EQ-01,2025-12-22,25606.06,3045.04,2849.72
CIF-CAD-EQ-01,2025-12-23,25684.43,3054.36,2791.95
CIF-CAD-EQ-01,2025-12-24,25589.99,3043.13,2782.34
CIF-CAD-EQ-01,2025-12-25,25634.43,3048.42,3261.58
CIF-CAD-EQ-01,2025-12-26,25752.7,3062.48,3166.45
CIF-CAD-EQ-01,2025-12-29,25826.98,3071.32,2987.2
CIF-CAD-EQ-01,2025-12-30,25847.54,3073.76,2931.96
CIF-CAD-EQ-01,2025-12-31,25804.38,3068.63,2879.37
CIF-GLB-EQ-02,2024-12-24,24992.06,2977.78,3008.4
CIF-GLB-EQ-02,2024-12-25,25002.04,2978.97,2698.84
CIF-GLB-EQ-02,2024-12-26,24765.93,2950.83,3185.82
CIF-GLB-EQ-02,2024-12-27,24859.05,2961.93,3243.19
CIF-GLB-EQ-02,2024-12-30,24797.88,2954.64,2670.11
CIF-GLB-EQ-02,2024-12-31,24942.17,2971.83,3300.99
CIF-GLB-EQ-02,2025-01-01,24795.09,2954.31,2796.04
CIF-GLB-EQ-02,2025-01-02,24841.93,2959.89,2977.14
CIF-GLB-EQ-02,2025-01-03,24851.97,2961.09,2934.4
CIF-GLB-EQ-02,2025-01-06,24761.93,2950.36,2623.3
CIF-GLB-EQ-02,2025-01-07,24716.83,2944.98,3307.07
CIF-GLB-EQ-02,2025-01-08,24753.26,2949.32,3258.25
CIF-GLB-EQ-02,2025-01-09,24775.13,2951.93,2934.62
CIF-GLB-EQ-02,2025-01-10,24814.64,2956.64,2780.73
CIF-GLB-EQ-02,2025-01-13,24742.13,2948.0,3235.81
CIF-GLB-EQ-02,2025-01-14,24790.13,2953.72,2835.88
CIF-GLB-EQ-02,2025-01-15,24816.07,2956.81,3012.42
CIF-GLB-EQ-02,2025-01-16,25045.34,2984.13,2866.13
CIF-GLB-EQ-02,2025-01-17,25298.49,3014.29,2880.3
CIF-GLB-EQ-02,2025-01-20,25321.95,3017.08,2864.17
CIF-GLB-EQ-02,2025-01-21,25419.82,3028.74,2880.8
CIF-GLB-EQ-02,2025-01-22,25329.31,3017.96,2876.41
CIF-GLB-EQ-02,2025-01-23,25473.01,3035.08,3238.2
CIF-GLB-EQ-02,2025-01-24,25341.78,3019.45,3140.83
CIF-GLB-EQ-02,2025-01-27,25354.8,3021.0,2806.42
CIF-GLB-EQ-02,2025-01-28,25253.08,3008.88,2626.74
CIF-GLB-EQ-02,2025-01-29,25288.27,3013.07,3202.0
CIF-GLB-EQ-02,2025-01-30,25245.59,3007.98,3217.06
CIF-GLB-EQ-02,2025-01-31,25212.85,3004.08,3304.21
CIF-GLB-EQ-02,2025-02-03,25191.08,3001.49,3407.8
CIF-GLB-EQ-02,2025-02-04,25099.67,2990.6,3136.39
CIF-GLB-EQ-02,2025-02-05,25182.68,3000.49,2624.8
CIF-GLB-EQ-02,2025-02-06,25250.31,3008.55,3029.96
CIF-GLB-EQ-02,2025-02-07,25355.45,3021.07,3288.1
CIF-GLB-EQ-02,2025-02-10,25253.6,3008.94,2934.4
CIF-GLB-EQ-02,2025-02-11,25362.54,3021.92,2781.05
CIF-GLB-EQ-02,2025-02-12,25300.73,3014.56,2714.82
CIF-GLB-EQ-02,2025-02-13,25320.84,3016.95,3487.83
CIF-GLB-EQ-02,2025-02-14,25396.03,3025.91,3475.94
CIF-GLB-EQ-02,2025-02-17,25367.29,3022.49,2944.5
CIF-GLB-EQ-02,2025-02-18,25351.23,3020.57,3038.95
CIF-GLB-EQ-02,2025-02-19,25376.31,3023.56,3362.68
CIF-GLB-EQ-02,2025-02-20,25478.25,3035.71,3156.22
CIF-GLB-EQ-02,2025-02-21,25451.0,3032.46,2895.54
CIF-GLB-EQ-02,2025-02-24,25524.74,3041.25,2963.6
CIF-GLB-EQ-02,2025-02-25,25509.8,3039.47,3401.98
CIF-GLB-EQ-02,2025-02-26,25678.89,3059.61,3174.24
CIF-GLB-EQ-02,2025-02-27,25665.25,3057.99,2669.87
CIF-GLB-EQ-02,2025-02-28,25713.5,3063.74,3332.36
CIF-GLB-EQ-02,2025-03-03,25691.96,3061.17,3439.93
CIF-GLB-EQ-02,2025-03-04,25713.34,3063.72,2946.36
CIF-GLB-EQ-02,2025-03-05,25699.8,3062.1,3012.86
CIF-GLB-EQ-02,2025-03-06,25792.62,3073.16,3015.35
CIF-GLB-EQ-02,2025-03-07,25740.1,3066.91,2852.22
CIF-GLB-EQ-02,2025-03-10,25841.94,3079.04,3417.5
CIF-GLB-EQ-02,2025-03-11,25858.22,3080.98,3442.85
CIF-GLB-EQ-02,2025-03-12,25806.7,3074.84,3351.08
CIF-GLB-EQ-02,2025-03-13,28519.3,3398.04,3305.06
CIF-GLB-EQ-02,2025-03-14,28373.66,3380.69,3232.87
CIF-GLB-EQ-02,2025-03-17,28459.24,3390.89,3741.67
CIF-GLB-EQ-02,2025-03-18,28344.55,3377.22,3549.79
CIF-GLB-EQ-02,2025-03-19,28329.26,3375.4,3058.33
CIF-GLB-EQ-02,2025-03-20,28196.85,3359.63,3624.86
CIF-GLB-EQ-02,2025-03-21,28187.45,3358.5,3484.0
CIF-GLB-EQ-02,2025-03-24,28239.52,3364.71,2939.66
CIF-GLB-EQ-02,2025-03-25,28257.99,3366.91,3644.18
CIF-GLB-EQ-02,2025-03-26,28298.66,3371.75,3256.22
CIF-GLB-EQ-02,2025-03-27,28428.53,3387.23,3831.66
CIF-GLB-EQ-02,2025-03-28,28239.89,3364.75,3244.73
CIF-GLB-EQ-02,2025-03-31,28335.07,3376.09,3698.22
CIF-GLB-EQ-02,2025-04-01,28307.15,3372.77,3659.57
CIF-GLB-EQ-02,2025-04-02,28275.09,3368.95,2951.72
CIF-GLB-EQ-02,2025-04-03,28196.83,3359.62,3856.19
CIF-GLB-EQ-02,2025-04-04,28232.75,3363.9,2983.86
CIF-GLB-EQ-02,2025-04-07,28437.65,3388.32,3330.31
CIF-GLB-EQ-02,2025-04-08,28537.02,3400.16,3121.89
CIF-GLB-EQ-02,2025-04-09,28434.47,3387.94,2976.0
CIF-GLB-EQ-02,2025-04-10,28467.31,3391.85,3514.6
CIF-GLB-EQ-02,2025-04-11,28363.02,3379.42,3110.04
CIF-GLB-EQ-02,2025-04-14,28229.82,3363.55,3196.75
CIF-GLB-EQ-02,2025-04-15,28205.94,3360.71,3678.98
CIF-GLB-EQ-02,2025-04-16,28415.26,3385.65,3472.97
CIF-GLB-EQ-02,2025-04-17,28461.23,3391.13,2978.11
CIF-GLB-EQ-02,2025-04-18,28368.57,3380.08,3586.89
CIF-GLB-EQ-02,2025-04-21,28273.27,3368.73,3876.42
CIF-GLB-EQ-02,2025-04-22,28134.77,3352.23,3702.86
CIF-GLB-EQ-02,2025-04-23,28195.58,3359.47,2909.58
CIF-GLB-EQ-02,2025-04-24,28015.25,3337.99,3716.79
CIF-GLB-EQ-02,2025-04-25,28107.17,3348.94,3840.25
CIF-GLB-EQ-02,2025-04-28,28243.77,3365.22,3464.88
CIF-GLB-EQ-02,2025-04-29,28158.92,3355.11,3789.05
CIF-GLB-EQ-02,2025-04-30,28186.52,3358.39,3684.12
CIF-GLB-EQ-02,2025-05-01,28269.96,3368.34,3873.9
CIF-GLB-EQ-02,2025-05-02,28095.51,3347.55,3611.93
CIF-GLB-EQ-02,2025-05-05,28117.3,3350.15,3515.09
CIF-GLB-EQ-02,2025-05-06,28114.68,3349.83,3752.49
CIF-GLB-EQ-02,2025-05-07,27981.78,3334.0,3494.85
CIF-GLB-EQ-02,2025-05-08,28042.73,3341.26,3851.59
CIF-GLB-EQ-02,2025-05-09,27794.15,3311.64,2846.28
CIF-GLB-EQ-02,2025-05-12,27851.75,3318.51,3454.43
CIF-GLB-EQ-02,2025-05-13,28049.11,3342.02,3108.77
CIF-GLB-EQ-02,2025-05-14,28063.17,3343.7,3072.65
CIF-GLB-EQ-02,2025-05-15,28016.5,3338.14,2879.13
CIF-GLB-EQ-02,2025-05-16,27919.93,3326.63,3687.28
CIF-GLB-EQ-02,2025-05-19,27902.49,3324.55,3110.82
CIF-GLB-EQ-02,2025-05-20,27963.23,3331.79,3342.01
CIF-GLB-EQ-02,2025-05-21,27902.22,3324.52,3112.32
CIF-GLB-EQ-02,2025-05-22,27712.52,3301.92,3117.25
CIF-GLB-EQ-02,2025-05-23,27765.74,3308.26,3704.47
CIF-GLB-EQ-02,2025-05-26,27764.67,3308.13,3159.86
CIF-GLB-EQ-02,2025-05-27,27834.77,3316.48,3478.11
CIF-GLB-EQ-02,2025-05-28,27899.04,3324.14,2997.39
CIF-GLB-EQ-02,2025-05-29,27820.39,3314.77,3217.34
CIF-GLB-EQ-02,2025-05-30,27771.33,3308.92,3163.71
CIF-GLB-EQ-02,2025-06-02,27945.81,3329.71,2931.31
CIF-GLB-EQ-02,2025-06-03,27865.99,3320.2,3188.04
CIF-GLB-EQ-02,2025-06-04,28206.18,3360.74,3655.16
CIF-GLB-EQ-02,2025-06-05,28186.75,3358.42,3483.15
