RATE_DATE,FROM_CURRENCY,TO_CURRENCY,RATE
2025-06-02,USD,CAD,1.344934
2025-06-03,USD,CAD,1.349967
2025-06-04,USD,CAD,1.34745
2025-06-05,USD,CAD,1.347295
2025-06-06,USD,CAD,1.355799
2025-06-09,USD,CAD,1.349746
2025-06-10,USD,CAD,1.356105
2025-06-11,USD,CAD,1.354403
2025-06-12,USD,CAD,1.346281
2025-06-13,USD,CAD,1.349248
2025-06-16,USD,CAD,1.354394
2025-06-17,USD,CAD,1.356802
2025-06-18,USD,CAD,1.366664
2025-06-19,USD,CAD,1.365397
2025-06-20,USD,CAD,1.368444
2025-06-23,USD,CAD,1.370207
2025-06-24,USD,CAD,1.375044
2025-06-25,USD,CAD,1.375513
2025-06-26,USD,CAD,1.384052
2025-06-27,USD,CAD,1.385653
2025-06-30,USD,CAD,1.387847
2025-07-01,USD,CAD,1.38193
2025-07-02,USD,CAD,1.383537
2025-07-03,USD,CAD,1.370708
2025-07-04,USD,CAD,1.371785
2025-07-07,USD,CAD,1.36245
2025-07-08,USD,CAD,1.360652
2025-07-09,USD,CAD,1.367082
2025-07-10,USD,CAD,1.369747
2025-07-11,USD,CAD,1.367349
2025-07-14,USD,CAD,1.367591
2025-07-15,USD,CAD,1.381927
2025-07-16,USD,CAD,1.392369
2025-07-17,USD,CAD,1.389023
2025-07-18,USD,CAD,1.384736
2025-07-21,USD,CAD,1.386828
2025-07-22,USD,CAD,1.394426
2025-07-23,USD,CAD,1.39131
2025-07-24,USD,CAD,1.392676
2025-07-25,USD,CAD,1.382603
2025-07-28,USD,CAD,1.385144
2025-07-29,USD,CAD,1.377417
2025-07-30,USD,CAD,1.373813
2025-07-31,USD,CAD,1.368687
2025-08-01,USD,CAD,1.370595
2025-08-04,USD,CAD,1.37352
2025-08-05,USD,CAD,1.368188
2025-08-06,USD,CAD,1.367196
2025-08-07,USD,CAD,1.367018
2025-08-08,USD,CAD,1.374295
2025-08-11,USD,CAD,1.374139
2025-08-12,USD,CAD,1.370509
2025-08-13,USD,CAD,1.364106
2025-08-14,USD,CAD,1.363744
2025-08-15,USD,CAD,1.358521
2025-08-18,USD,CAD,1.359268
2025-08-19,USD,CAD,1.355014
2025-08-20,USD,CAD,1.3472
2025-08-21,USD,CAD,1.350861
2025-08-22,USD,CAD,1.35029
2025-08-25,USD,CAD,1.355492
2025-08-26,USD,CAD,1.356488
2025-08-27,USD,CAD,1.362041
2025-08-28,USD,CAD,1.367358
2025-08-29,USD,CAD,1.3743
2025-09-01,USD,CAD,1.368463
2025-09-02,USD,CAD,1.3716
2025-09-03,USD,CAD,1.368632
2025-09-04,USD,CAD,1.36723
2025-09-05,USD,CAD,1.368237
2025-09-08,USD,CAD,1.368896
2025-09-09,USD,CAD,1.371946
2025-09-10,USD,CAD,1.377711
2025-09-11,USD,CAD,1.380701
2025-09-12,USD,CAD,1.384394
2025-09-15,USD,CAD,1.375685
2025-09-16,USD,CAD,1.375213
2025-09-17,USD,CAD,1.379981
2025-09-18,USD,CAD,1.37641
2025-09-19,USD,CAD,1.37888
2025-09-22,USD,CAD,1.383968
2025-09-23,USD,CAD,1.387773
2025-09-24,USD,CAD,1.401847
2025-09-25,USD,CAD,1.401531
2025-09-26,USD,CAD,1.390831
2025-09-29,USD,CAD,1.386128
2025-09-30,USD,CAD,1.385986
2025-10-01,USD,CAD,1.389343
2025-10-02,USD,CAD,1.385713
2025-10-03,USD,CAD,1.387361
2025-10-06,USD,CAD,1.393563
2025-10-07,USD,CAD,1.388569
2025-10-08,USD,CAD,1.383262
2025-10-09,USD,CAD,1.384356
2025-10-10,USD,CAD,1.392448
2025-10-13,USD,CAD,1.399164
2025-10-14,USD,CAD,1.400153
2025-10-15,USD,CAD,1.403942
2025-10-16,USD,CAD,1.402292
2025-10-17,USD,CAD,1.407619
2025-10-20,USD,CAD,1.405539
2025-10-21,USD,CAD,1.406897
2025-10-22,USD,CAD,1.397288
2025-10-23,USD,CAD,1.401346
2025-10-24,USD,CAD,1.397322
2025-10-27,USD,CAD,1.404724
2025-10-28,USD,CAD,1.40461
2025-10-29,USD,CAD,1.405076
2025-10-30,USD,CAD,1.410544
2025-10-31,USD,CAD,1.411482
2025-11-03,USD,CAD,1.419061
2025-11-04,USD,CAD,1.419464
2025-11-05,USD,CAD,1.419402
2025-11-06,USD,CAD,1.418361
2025-11-07,USD,CAD,1.419588
2025-11-10,USD,CAD,1.414436
2025-11-11,USD,CAD,1.419985
2025-11-12,USD,CAD,1.429167
2025-11-13,USD,CAD,1.429164
2025-11-14,USD,CAD,1.427958
2025-11-17,USD,CAD,1.430295
2025-11-18,USD,CAD,1.430181
2025-11-19,USD,CAD,1.437795
2025-11-20,USD,CAD,1.43012
2025-11-21,USD,CAD,1.426737
2025-11-24,USD,CAD,1.422323
2025-11-25,USD,CAD,1.427228
2025-11-26,USD,CAD,1.422754
2025-11-27,USD,CAD,1.425925
2025-11-28,USD,CAD,1.42503
2025-12-01,USD,CAD,1.427086
2025-12-02,USD,CAD,1.430988
2025-12-03,USD,CAD,1.436795
2025-12-04,USD,CAD,1.43924
2025-12-05,USD,CAD,1.444674
2025-12-08,USD,CAD,1.449164
2025-12-09,USD,CAD,1.449217
2025-12-10,USD,CAD,1.451851
2025-12-11,USD,CAD,1.448224
2025-12-12,USD,CAD,1.440259
2025-12-15,USD,CAD,1.438808
2025-12-16,USD,CAD,1.442222
2025-12-17,USD,CAD,1.445545
2025-12-18,USD,CAD,1.448998
2025-12-19,USD,CAD,1.442998
2025-12-22,USD,CAD,1.441856
2025-12-23,USD,CAD,1.442787
2025-12-24,USD,CAD,1.44472
2025-12-25,USD,CAD,1.430136
2025-12-26,USD,CAD,1.430533
2025-12-29,USD,CAD,1.431846
2025-12-30,USD,CAD,1.432515
2025-12-31,USD,CAD,1.432217
2024-12-24,EUR,CAD,1.459732
2024-12-25,EUR,CAD,1.459458
2024-12-26,EUR,CAD,1.465784
2024-12-27,EUR,CAD,1.469199
2024-12-30,EUR,CAD,1.468276
2024-12-31,EUR,CAD,1.465699
2025-01-01,EUR,CAD,1.46458
2025-01-02,EUR,CAD,1.460667
2025-01-03,EUR,CAD,1.450528
2025-01-06,EUR,CAD,1.440661
2025-01-07,EUR,CAD,1.435244
2025-01-08,EUR,CAD,1.438505
2025-01-09,EUR,CAD,1.443898
2025-01-10,EUR,CAD,1.444991
2025-01-13,EUR,CAD,1.447306
2025-01-14,EUR,CAD,1.448356
2025-01-15,EUR,CAD,1.454679
2025-01-16,EUR,CAD,1.450304
2025-01-17,EUR,CAD,1.461382
2025-01-20,EUR,CAD,1.459648
2025-01-21,EUR,CAD,1.449197
2025-01-22,EUR,CAD,1.459296
2025-01-23,EUR,CAD,1.459366
2025-01-24,EUR,CAD,1.460676
2025-01-27,EUR,CAD,1.454757
2025-01-28,EUR,CAD,1.451421
2025-01-29,EUR,CAD,1.453116
2025-01-30,EUR,CAD,1.446957
2025-01-31,EUR,CAD,1.449515
2025-02-03,EUR,CAD,1.436154
2025-02-04,EUR,CAD,1.444525
2025-02-05,EUR,CAD,1.448784
2025-02-06,EUR,CAD,1.445079
2025-02-07,EUR,CAD,1.438764
2025-02-10,EUR,CAD,1.44431
2025-02-11,EUR,CAD,1.446681
2025-02-12,EUR,CAD,1.441143
2025-02-13,EUR,CAD,1.437435
2025-02-14,EUR,CAD,1.435161
2025-02-17,EUR,CAD,1.432321
2025-02-18,EUR,CAD,1.432686
2025-02-19,EUR,CAD,1.426935
2025-02-20,EUR,CAD,1.422553
2025-02-21,EUR,CAD,1.428179
2025-02-24,EUR,CAD,1.42555
2025-02-25,EUR,CAD,1.431144
2025-02-26,EUR,CAD,1.423546
2025-02-27,EUR,CAD,1.428452
2025-02-28,EUR,CAD,1.435424
2025-03-03,EUR,CAD,1.441327
2025-03-04,EUR,CAD,1.438866
2025-03-05,EUR,CAD,1.441793
2025-03-06,EUR,CAD,1.439185
2025-03-07,EUR,CAD,1.443268
2025-03-10,EUR,CAD,1.442127
2025-03-11,EUR,CAD,1.438542
2025-03-12,EUR,CAD,1.43531
2025-03-13,EUR,CAD,1.431729
2025-03-14,EUR,CAD,1.440114
2025-03-17,EUR,CAD,1.440645
2025-03-18,EUR,CAD,1.437971
2025-03-19,EUR,CAD,1.436606
2025-03-20,EUR,CAD,1.431536
2025-03-21,EUR,CAD,1.42479
2025-03-24,EUR,CAD,1.417698
2025-03-25,EUR,CAD,1.427639
2025-03-26,EUR,CAD,1.428191
2025-03-27,EUR,CAD,1.421371
2025-03-28,EUR,CAD,1.425845
2025-03-31,EUR,CAD,1.424131
2025-04-01,EUR,CAD,1.432207
2025-04-02,EUR,CAD,1.432513
2025-04-03,EUR,CAD,1.443493
2025-04-04,EUR,CAD,1.448037
2025-04-07,EUR,CAD,1.455889
2025-04-08,EUR,CAD,1.460962
2025-04-09,EUR,CAD,1.455153
2025-04-10,EUR,CAD,1.450713
2025-04-11,EUR,CAD,1.439478
2025-04-14,EUR,CAD,1.443542
2025-04-15,EUR,CAD,1.44292
2025-04-16,EUR,CAD,1.451389
2025-04-17,EUR,CAD,1.452704
2025-04-18,EUR,CAD,1.443845
2025-04-21,EUR,CAD,1.439549
2025-04-22,EUR,CAD,1.437453
2025-04-23,EUR,CAD,1.443382
2025-04-24,EUR,CAD,1.451383
2025-04-25,EUR,CAD,1.458566
2025-04-28,EUR,CAD,1.451505
2025-04-29,EUR,CAD,1.443141
2025-04-30,EUR,CAD,1.440977
2025-05-01,EUR,CAD,1.426905
2025-05-02,EUR,CAD,1.442128
2025-05-05,EUR,CAD,1.44201
2025-05-06,EUR,CAD,1.440632
2025-05-07,EUR,CAD,1.451586
2025-05-08,EUR,CAD,1.447121
2025-05-09,EUR,CAD,1.445325
2025-05-12,EUR,CAD,1.44744
2025-05-13,EUR,CAD,1.443516
2025-05-14,EUR,CAD,1.453804
2025-05-15,EUR,CAD,1.459401
2025-05-16,EUR,CAD,1.459965
2025-05-19,EUR,CAD,1.459273
2025-05-20,EUR,CAD,1.45929
2025-05-21,EUR,CAD,1.458298
2025-05-22,EUR,CAD,1.454582
2025-05-23,EUR,CAD,1.451137
2025-05-26,EUR,CAD,1.454862
2025-05-27,EUR,CAD,1.442919
2025-05-28,EUR,CAD,1.43898
2025-05-29,EUR,CAD,1.431781
2025-05-30,EUR,CAD,1.43227
2025-06-02,EUR,CAD,1.430184
2025-06-03,EUR,CAD,1.435883
2025-06-04,EUR,CAD,1.445379
2025-06-05,EUR,CAD,1.437514
2025-06-06,EUR,CAD,1.446778
2025-06-09,EUR,CAD,1.452057
2025-06-10,EUR,CAD,1.454442
2025-06-11,EUR,CAD,1.445066
2025-06-12,EUR,CAD,1.436684
2025-06-13,EUR,CAD,1.436183
2025-06-16,EUR,CAD,1.441394
2025-06-17,EUR,CAD,1.436285
2025-06-18,EUR,CAD,1.434841
2025-06-19,EUR,CAD,1.440962
2025-06-20,EUR,CAD,1.441356
2025-06-23,EUR,CAD,1.444157
2025-06-24,EUR,CAD,1.446176
2025-06-25,EUR,CAD,1.449287
2025-06-26,EUR,CAD,1.451023
2025-06-27,EUR,CAD,1.453735
2025-06-30,EUR,CAD,1.465957
2025-07-01,EUR,CAD,1.471393
2025-07-02,EUR,CAD,1.475623
2025-07-03,EUR,CAD,1.469875
2025-07-04,EUR,CAD,1.473874
2025-07-07,EUR,CAD,1.47316
2025-07-08,EUR,CAD,1.472144
2025-07-09,EUR,CAD,1.466769
2025-07-10,EUR,CAD,1.470004
2025-07-11,EUR,CAD,1.467729
2025-07-14,EUR,CAD,1.460265
2025-07-15,EUR,CAD,1.459806
2025-07-16,EUR,CAD,1.455082
2025-07-17,EUR,CAD,1.454735
2025-07-18,EUR,CAD,1.452864
2025-07-21,EUR,CAD,1.456629
2025-07-22,EUR,CAD,1.459411
2025-07-23,EUR,CAD,1.451311
2025-07-24,EUR,CAD,1.445173
2025-07-25,EUR,CAD,1.440049
2025-07-28,EUR,CAD,1.445669
2025-07-29,EUR,CAD,1.448365
2025-07-30,EUR,CAD,1.456111
2025-07-31,EUR,CAD,1.454504
2025-08-01,EUR,CAD,1.452721
2025-08-04,EUR,CAD,1.450522
2025-08-05,EUR,CAD,1.442165
2025-08-06,EUR,CAD,1.438241
2025-08-07,EUR,CAD,1.44155
2025-08-08,EUR,CAD,1.45048
2025-08-11,EUR,CAD,1.452519
2025-08-12,EUR,CAD,1.456583
2025-08-13,EUR,CAD,1.459809
2025-08-14,EUR,CAD,1.465159
2025-08-15,EUR,CAD,1.471007
2025-08-18,EUR,CAD,1.471096
2025-08-19,EUR,CAD,1.462322
2025-08-20,EUR,CAD,1.460771
2025-08-21,EUR,CAD,1.452267
2025-08-22,EUR,CAD,1.456047
2025-08-25,EUR,CAD,1.450677
2025-08-26,EUR,CAD,1.459726
2025-08-27,EUR,CAD,1.452527
2025-08-28,EUR,CAD,1.452713
2025-08-29,EUR,CAD,1.4623
2025-09-01,EUR,CAD,1.461333
2025-09-02,EUR,CAD,1.461772
2025-09-03,EUR,CAD,1.451254
2025-09-04,EUR,CAD,1.450141
2025-09-05,EUR,CAD,1.458627
2025-09-08,EUR,CAD,1.452103
2025-09-09,EUR,CAD,1.463038
2025-09-10,EUR,CAD,1.467421
2025-09-11,EUR,CAD,1.462266
2025-09-12,EUR,CAD,1.462331
2025-09-15,EUR,CAD,1.459247
2025-09-16,EUR,CAD,1.457881
2025-09-17,EUR,CAD,1.455877
2025-09-18,EUR,CAD,1.455986
2025-09-19,EUR,CAD,1.454086
2025-09-22,EUR,CAD,1.450641
2025-09-23,EUR,CAD,1.443232
2025-09-24,EUR,CAD,1.446524
2025-09-25,EUR,CAD,1.449585
2025-09-26,EUR,CAD,1.448029
2025-09-29,EUR,CAD,1.45156
2025-09-30,EUR,CAD,1.443653
2025-10-01,EUR,CAD,1.44281
2025-10-02,EUR,CAD,1.443146
2025-10-03,EUR,CAD,1.436188
2025-10-06,EUR,CAD,1.441308
2025-10-07,EUR,CAD,1.448099
2025-10-08,EUR,CAD,1.461611
2025-10-09,EUR,CAD,1.463354
2025-10-10,EUR,CAD,1.473388
2025-10-13,EUR,CAD,1.468089
2025-10-14,EUR,CAD,1.465489
2025-10-15,EUR,CAD,1.474036
2025-10-16,EUR,CAD,1.484021
2025-10-17,EUR,CAD,1.479011
2025-10-20,EUR,CAD,1.466275
2025-10-21,EUR,CAD,1.468505
2025-10-22,EUR,CAD,1.473385
2025-10-23,EUR,CAD,1.476199
2025-10-24,EUR,CAD,1.476652
2025-10-27,EUR,CAD,1.477991
2025-10-28,EUR,CAD,1.480757
2025-10-29,EUR,CAD,1.475595
2025-10-30,EUR,CAD,1.477739
2025-10-31,EUR,CAD,1.469418
2025-11-03,EUR,CAD,1.474766
2025-11-04,EUR,CAD,1.467335
2025-11-05,EUR,CAD,1.468883
2025-11-06,EUR,CAD,1.469905
2025-11-07,EUR,CAD,1.474741
2025-11-10,EUR,CAD,1.471296
2025-11-11,EUR,CAD,1.473146
2025-11-12,EUR,CAD,1.467123
2025-11-13,EUR,CAD,1.467863
2025-11-14,EUR,CAD,1.474651
2025-11-17,EUR,CAD,1.469544
2025-11-18,EUR,CAD,1.478286
2025-11-19,EUR,CAD,1.485577
2025-11-20,EUR,CAD,1.48451
2025-11-21,EUR,CAD,1.478312
2025-11-24,EUR,CAD,1.481884
2025-11-25,EUR,CAD,1.486436
2025-11-26,EUR,CAD,1.484999
2025-11-27,EUR,CAD,1.48562
2025-11-28,EUR,CAD,1.487034
2025-12-01,EUR,CAD,1.48202
2025-12-02,EUR,CAD,1.479882
2025-12-03,EUR,CAD,1.472
2025-12-04,EUR,CAD,1.461672
2025-12-05,EUR,CAD,1.466617
2025-12-08,EUR,CAD,1.480841
2025-12-09,EUR,CAD,1.483962
2025-12-10,EUR,CAD,1.482331
2025-12-11,EUR,CAD,1.480088
2025-12-12,EUR,CAD,1.480127
2025-12-15,EUR,CAD,1.489379
2025-12-16,EUR,CAD,1.486012
2025-12-17,EUR,CAD,1.481156
2025-12-18,EUR,CAD,1.486371
2025-12-19,EUR,CAD,1.481839
2025-12-22,EUR,CAD,1.474479
2025-12-23,EUR,CAD,1.477477
2025-12-24,EUR,CAD,1.467457
2025-12-25,EUR,CAD,1.475372
2025-12-26,EUR,CAD,1.480184
2025-12-29,EUR,CAD,1.477645
2025-12-30,EUR,CAD,1.480811
2025-12-31,EUR,CAD,1.475753
2024-12-24,CAD,CAD,1.0
2024-12-25,CAD,CAD,1.0
2024-12-26,CAD,CAD,1.0
2024-12-27,CAD,CAD,1.0
2024-12-30,CAD,CAD,1.0
2024-12-31,CAD,CAD,1.0
2025-01-01,CAD,CAD,1.0
2025-01-02,CAD,CAD,1.0
2025-01-03,CAD,CAD,1.0
2025-01-06,CAD,CAD,1.0
2025-01-07,CAD,CAD,1.0
2025-01-08,CAD,CAD,1.0
2025-01-09,CAD,CAD,1.0
2025-01-10,CAD,CAD,1.0
2025-01-13,CAD,CAD,1.0
2025-01-14,CAD,CAD,1.0
2025-01-15,CAD,CAD,1.0
2025-01-16,CAD,CAD,1.0
2025-01-17,CAD,CAD,1.0
2025-01-20,CAD,CAD,1.0
2025-01-21,CAD,CAD,1.0
2025-01-22,CAD,CAD,1.0
2025-01-23,CAD,CAD,1.0
2025-01-24,CAD,CAD,1.0
2025-01-27,CAD,CAD,1.0
2025-01-28,CAD,CAD,1.0
2025-01-29,CAD,CAD,1.0
2025-01-30,CAD,CAD,1.0
2025-01-31,CAD,CAD,1.0
2025-02-03,CAD,CAD,1.0
2025-02-04,CAD,CAD,1.0
2025-02-05,CAD,CAD,1.0
2025-02-06,CAD,CAD,1.0
2025-02-07,CAD,CAD,1.0
2025-02-10,CAD,CAD,1.0
2025-02-11,CAD,CAD,1.0
2025-02-12,CAD,CAD,1.0
2025-02-13,CAD,CAD,1.0
2025-02-14,CAD,CAD,1.0
2025-02-17,CAD,CAD,1.0
2025-02-18,CAD,CAD,1.0
2025-02-19,CAD,CAD,1.0
2025-02-20,CAD,CAD,1.0
2025-02-21,CAD,CAD,1.0
2025-02-24,CAD,CAD,1.0
2025-02-25,CAD,CAD,1.0
2025-02-26,CAD,CAD,1.0
2025-02-27,CAD,CAD,1.0
2025-02-28,CAD,CAD,1.0
2025-03-03,CAD,CAD,1.0
2025-03-04,CAD,CAD,1.0
2025-03-05,CAD,CAD,1.0
2025-03-06,CAD,CAD,1.0
2025-03-07,CAD,CAD,1.0
2025-03-10,CAD,CAD,1.0
2025-03-11,CAD,CAD,1.0
2025-03-12,CAD,CAD,1.0
2025-03-13,CAD,CAD,1.0
2025-03-14,CAD,CAD,1.0
2025-03-17,CAD,CAD,1.0
2025-03-18,CAD,CAD,1.0
2025-03-19,CAD,CAD,1.0
2025-03-20,CAD,CAD,1.0
2025-03-21,CAD,CAD,1.0
2025-03-24,CAD,CAD,1.0
2025-03-25,CAD,CAD,1.0
2025-03-26,CAD,CAD,1.0
2025-03-27,CAD,CAD,1.0
2025-03-28,CAD,CAD,1.0
2025-03-31,CAD,CAD,1.0
2025-04-01,CAD,CAD,1.0
2025-04-02,CAD,CAD,1.0
2025-04-03,CAD,CAD,1.0
2025-04-04,CAD,CAD,1.0
2025-04-07,CAD,CAD,1.0
2025-04-08,CAD,CAD,1.0
2025-04-09,CAD,CAD,1.0
2025-04-10,CAD,CAD,1.0
2025-04-11,CAD,CAD,1.0
2025-04-14,CAD,CAD,1.0
2025-04-15,CAD,CAD,1.0
2025-04-16,CAD,CAD,1.0
2025-04-17,CAD,CAD,1.0
2025-04-18,CAD,CAD,1.0
2025-04-21,CAD,CAD,1.0
2025-04-22,CAD,CAD,1.0
2025-04-23,CAD,CAD,1.0
2025-04-24,CAD,CAD,1.0
2025-04-25,CAD,CAD,1.0
2025-04-28,CAD,CAD,1.0
2025-04-29,CAD,CAD,1.0
2025-04-30,CAD,CAD,1.0
2025-05-01,CAD,CAD,1.0
2025-05-02,CAD,CAD,1.0
2025-05-05,CAD,CAD,1.0
2025-05-06,CAD,CAD,1.0
2025-05-07,CAD,CAD,1.0
2025-05-08,CAD,CAD,1.0
2025-05-09,CAD,CAD,1.0
2025-05-12,CAD,CAD,1.0
2025-05-13,CAD,CAD,1.0
2025-05-14,CAD,CAD,1.0
2025-05-15,CAD,CAD,1.0
2025-05-16,CAD,CAD,1.0
2025-05-19,CAD,CAD,1.0
2025-05-20,CAD,CAD,1.0
2025-05-21,CAD,CAD,1.0
2025-05-22,CAD,CAD,1.0
2025-05-23,CAD,CAD,1.0
2025-05-26,CAD,CAD,1.0
2025-05-27,CAD,CAD,1.0
2025-05-28,CAD,CAD,1.0
2025-05-29,CAD,CAD,1.0
2025-05-30,CAD,CAD,1.0
2025-06-02,CAD,CAD,1.0
2025-06-03,CAD,CAD,1.0
2025-06-04,CAD,CAD,1.0
2025-06-05,CAD,CAD,1.0
2025-06-06,CAD,CAD,1.0
2025-06-09,CAD,CAD,1.0
2025-06-10,CAD,CAD,1.0
2025-06-11,CAD,CAD,1.0
2025-06-12,CAD,CAD,1.0
2025-06-13,CAD,CAD,1.0
2025-06-16,CAD,CAD,1.0
2025-06-17,CAD,CAD,1.0
2025-06-18,CAD,CAD,1.0
2025-06-19,CAD,CAD,1.0
2025-06-20,CAD,CAD,1.0
2025-06-23,CAD,CAD,1.0
2025-06-24,CAD,CAD,1.0
2025-06-25,CAD,CAD,1.0
2025-06-26,CAD,CAD,1.0
2025-06-27,CAD,CAD,1.0
2025-06-30,CAD,CAD,1.0
2025-07-01,CAD,CAD,1.0
2025-07-02,CAD,CAD,1.0
2025-07-03,CAD,CAD,1.0
2025-07-04,CAD,CAD,1.0
2025-07-07,CAD,CAD,1.0
2025-07-08,CAD,CAD,1.0
2025-07-09,CAD,CAD,1.0
2025-07-10,CAD,CAD,1.0
2025-07-11,CAD,CAD,1.0
2025-07-14,CAD,CAD,1.0
2025-07-15,CAD,CAD,1.0
2025-07-16,CAD,CAD,1.0
2025-07-17,CAD,CAD,1.0
2025-07-18,CAD,CAD,1.0
2025-07-21,CAD,CAD,1.0
2025-07-22,CAD,CAD,1.0
2025-07-23,CAD,CAD,1.0
2025-07-24,CAD,CAD,1.0
2025-07-25,CAD,CAD,1.0
2025-07-28,CAD,CAD,1.0
2025-07-29,CAD,CAD,1.0
2025-07-30,CAD,CAD,1.0
2025-07-31,CAD,CAD,1.0
2025-08-01,CAD,CAD,1.0
2025-08-04,CAD,CAD,1.0
2025-08-05,CAD,CAD,1.0
2025-08-06,CAD,CAD,1.0
2025-08-07,CAD,CAD,1.0
2025-08-08,CAD,CAD,1.0
2025-08-11,CAD,CAD,1.0
2025-08-12,CAD,CAD,1.0
2025-08-13,CAD,CAD,1.0
2025-08-14,CAD,CAD,1.0
2025-08-15,CAD,CAD,1.0
2025-08-18,CAD,CAD,1.0
2025-08-19,CAD,CAD,1.0
2025-08-20,CAD,CAD,1.0
2025-08-21,CAD,CAD,1.0
2025-08-22,CAD,CAD,1.0
2025-08-25,CAD,CAD,1.0
2025-08-26,CAD,CAD,1.0
2025-08-27,CAD,CAD,1.0
2025-08-28,CAD,CAD,1.0
2025-08-29,CAD,CAD,1.0
2025-09-01,CAD,CAD,1.0
2025-09-02,CAD,CAD,1.0
2025-09-03,CAD,CAD,1.0
2025-09-04,CAD,CAD,1.0
2025-09-05,CAD,CAD,1.0
2025-09-08,CAD,CAD,1.0
